erin@debian:~/Main/Julia$ julia may27-calling.jl 
helo the file opened
After sweep 16 energy=-6.749999999999995  maxlinkdim=2 maxerr=6.16E-33 time=0.009
After sweep 17 energy=-6.749999999999997  maxlinkdim=2 maxerr=1.39E-32 time=0.009
After sweep 18 energy=-6.749999999999998  maxlinkdim=2 maxerr=7.70E-33 time=0.009
After sweep 19 energy=-6.749999999999999  maxlinkdim=2 maxerr=1.39E-32 time=0.009
After sweep 20 energy=-6.749999999999997  maxlinkdim=2 maxerr=1.39E-32 time=0.015
Energy: -6.750000
Difference: 0.000000
After sweep 1 energy=-7.499999453240228  maxlinkdim=18 maxerr=9.50E-13 time=0.027
After sweep 2 energy=-7.50000000000001  maxlinkdim=2 maxerr=6.68E-13 time=0.018
After sweep 3 energy=-7.5  maxlinkdim=2 maxerr=1.14E-31 time=0.020
After sweep 4 energy=-7.499999999999997  maxlinkdim=2 maxerr=1.39E-32 time=0.011
After sweep 5 energy=-7.4999999999999964  maxlinkdim=2 maxerr=1.23E-32 time=0.010
After sweep 6 energy=-7.499999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.009
After sweep 7 energy=-7.499999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.010
After sweep 8 energy=-7.500000000000001  maxlinkdim=2 maxerr=1.39E-32 time=0.010
After sweep 9 energy=-7.4999999999999964  maxlinkdim=2 maxerr=1.23E-32 time=0.009
After sweep 10 energy=-7.499999999999998  maxlinkdim=2 maxerr=7.70E-33 time=0.011
After sweep 11 energy=-7.4999999999999885  maxlinkdim=2 maxerr=2.47E-32 time=0.020
After sweep 12 energy=-7.499999999999992  maxlinkdim=2 maxerr=6.16E-33 time=0.010
After sweep 13 energy=-7.499999999999994  maxlinkdim=2 maxerr=1.39E-32 time=0.010
After sweep 14 energy=-7.499999999999994  maxlinkdim=2 maxerr=6.16E-33 time=0.010
After sweep 15 energy=-7.4999999999999964  maxlinkdim=2 maxerr=6.16E-33 time=0.010
After sweep 16 energy=-7.49999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.010
After sweep 17 energy=-7.499999999999995  maxlinkdim=2 maxerr=6.16E-33 time=0.009
After sweep 18 energy=-7.49999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.015
After sweep 19 energy=-7.4999999999999964  maxlinkdim=2 maxerr=6.16E-33 time=0.010
After sweep 20 energy=-7.499999999999986  maxlinkdim=2 maxerr=1.39E-32 time=0.010
Energy: -7.500000
Difference: 0.000000
After sweep 1 energy=-8.249999161970143  maxlinkdim=24 maxerr=9.57E-13 time=0.045
After sweep 2 energy=-8.24999999999999  maxlinkdim=2 maxerr=9.77E-13 time=0.019
After sweep 3 energy=-8.249999999999986  maxlinkdim=2 maxerr=6.44E-32 time=0.012
After sweep 4 energy=-8.249999999999998  maxlinkdim=2 maxerr=1.23E-32 time=0.011
After sweep 5 energy=-8.249999999999991  maxlinkdim=2 maxerr=1.23E-32 time=0.011
After sweep 6 energy=-8.249999999999991  maxlinkdim=2 maxerr=2.00E-32 time=0.010
After sweep 7 energy=-8.249999999999988  maxlinkdim=2 maxerr=1.23E-32 time=0.022
After sweep 8 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.011
After sweep 9 energy=-8.249999999999991  maxlinkdim=2 maxerr=1.23E-32 time=0.012
After sweep 10 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.011
After sweep 11 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.011
After sweep 12 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.011
After sweep 13 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.010
After sweep 14 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.016
After sweep 15 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.011
After sweep 16 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.011
After sweep 17 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.012
